period,movie_id,title,release_year,nb_cast_total,nb_cast_in_graph,nb_communities_in_movie,dominant_community,dominant_community_count,dominant_community_share,is_coherent_with_community,communities_distribution
1990_1999,332,Inspector Gadget,1999.0,16,16,4,24,13,0.812,True,"{38: 1, 14: 1, 24: 13, 33: 1}"
1990_1999,6520,First Knight,1995.0,16,16,3,11,13,0.812,True,"{36: 1, 11: 13, 23: 2}"
1990_1999,1439,Anna and the King,1999.0,32,32,2,6,31,0.969,True,"{16: 1, 6: 31}"
1990_1999,9425,Soldier,1998.0,19,19,6,3,13,0.684,True,"{3: 13, 18: 1, 8: 1, 1: 1, 14: 1, 9: 2}"
1990_1999,8688,Snake Eyes,1998.0,23,23,9,14,15,0.652,True,"{14: 15, 20: 1, 28: 1, 8: 1, 6: 1, 32: 1, 10: 1, 13: 1, 19: 1}"
1990_1999,10153,Sphere,1998.0,12,12,6,19,5,0.417,False,"{33: 1, 19: 5, 14: 3, 27: 1, 40: 1, 1: 1}"
1990_1999,197,Braveheart,1995.0,55,55,5,6,51,0.927,True,"{6: 51, 0: 1, 32: 1, 25: 1, 15: 1}"
1990_1999,3050,Doctor Dolittle,1998.0,12,12,5,40,8,0.667,True,"{27: 1, 40: 8, 39: 1, 36: 1, 12: 1}"
1990_1999,4806,Runaway Bride,1999.0,18,18,12,20,7,0.389,False,"{30: 1, 11: 1, 20: 7, 24: 1, 23: 1, 14: 1, 27: 1, 2: 1, 32: 1, 3: 1, 1: 1, 9: 1}"
1990_1999,3595,Ransom,1996.0,38,38,10,4,29,0.763,True,"{6: 1, 20: 1, 40: 1, 4: 29, 27: 1, 30: 1, 12: 1, 31: 1, 39: 1, 16: 1}"
1990_1999,879,Hook,1991.0,30,30,7,33,24,0.8,True,"{8: 1, 33: 24, 30: 1, 11: 1, 35: 1, 10: 1, 41: 1}"
1990_1999,1573,Die Hard 2,1990.0,44,44,4,14,41,0.932,True,"{15: 1, 14: 41, 21: 1, 23: 1}"
1990_1999,200,Star Trek: Insurrection,1998.0,11,11,4,24,8,0.727,True,"{24: 8, 1: 1, 20: 1, 14: 1}"
1990_1999,10395,Wolf,1994.0,15,15,9,1,4,0.267,False,"{39: 1, 40: 1, 14: 3, 1: 4, 33: 1, 35: 1, 20: 1, 6: 1, 18: 2}"
1990_1999,9882,The Siege,1998.0,14,14,5,7,10,0.714,True,"{31: 1, 7: 10, 15: 1, 26: 1, 36: 1}"
1990_1999,978,Seven Years in Tibet,1997.0,10,10,5,22,6,0.6,True,"{9: 1, 22: 6, 3: 1, 26: 1, 41: 1}"
1990_1999,11258,Hard Rain,1998.0,10,10,9,24,2,0.2,False,"{32: 1, 36: 1, 1: 1, 8: 1, 20: 1, 24: 2, 3: 1, 40: 1, 26: 1}"
1990_1999,11517,Money Train,1995.0,15,15,10,7,5,0.333,False,"{2: 1, 16: 1, 7: 5, 3: 2, 6: 1, 10: 1, 19: 1, 8: 1, 41: 1, 4: 1}"
1990_1999,9824,Mystery Men,1999.0,26,26,13,13,7,0.269,False,"{33: 1, 11: 2, 3: 6, 13: 7, 8: 1, 40: 2, 23: 1, 7: 1, 35: 1, 31: 1, 36: 1, 39: 1, 28: 1}"
1990_1999,9008,The Insider,1999.0,56,56,11,26,45,0.804,True,"{17: 1, 3: 2, 40: 1, 26: 45, 13: 1, 19: 1, 25: 1, 18: 1, 1: 1, 16: 1, 9: 1}"
1990_1999,1844,Entrapment,1999.0,21,21,8,41,13,0.619,True,"{36: 1, 4: 1, 3: 1, 23: 1, 41: 13, 11: 2, 1: 1, 25: 1}"
1990_1999,846,The X Files,1998.0,46,46,8,9,38,0.826,True,"{9: 38, 15: 1, 13: 1, 23: 2, 2: 1, 3: 1, 20: 1, 24: 1}"
1990_1999,857,Saving Private Ryan,1998.0,38,38,8,1,29,0.763,True,"{20: 1, 10: 1, 15: 1, 1: 29, 16: 2, 14: 1, 7: 1, 0: 2}"
1990_1999,603,The Matrix,1999.0,36,36,1,32,36,1.0,True,{32: 36}
1990_1999,568,Apollo 13,1995.0,27,27,13,20,10,0.37,False,"{20: 10, 0: 1, 14: 1, 17: 1, 1: 1, 22: 3, 33: 1, 9: 2, 3: 2, 24: 1, 4: 1, 16: 2, 26: 1}"
1990_1999,9489,You've Got Mail,1998.0,16,16,7,27,10,0.625,True,"{20: 1, 17: 1, 27: 10, 7: 1, 24: 1, 3: 1, 10: 1}"
1990_1999,9342,The Mask of Zorro,1998.0,24,24,3,4,22,0.917,True,"{4: 22, 1: 1, 19: 1}"
1990_1999,9350,Cliffhanger,1993.0,15,15,6,28,8,0.533,False,"{24: 1, 20: 3, 28: 8, 6: 1, 35: 1, 3: 1}"
1990_1999,9208,Broken Arrow,1996.0,15,15,8,14,8,0.533,False,"{41: 1, 36: 1, 14: 8, 40: 1, 20: 1, 39: 1, 26: 1, 23: 1}"
1990_1999,345,Eyes Wide Shut,1999.0,17,17,6,8,12,0.706,True,"{41: 1, 8: 12, 4: 1, 33: 1, 11: 1, 6: 1}"
1990_1999,9440,Primary Colors,1998.0,17,17,12,3,6,0.353,False,"{41: 1, 6: 1, 3: 6, 0: 1, 14: 1, 16: 1, 18: 1, 20: 1, 39: 1, 7: 1, 36: 1, 32: 1}"
1990_1999,11412,The Long Kiss Goodnight,1996.0,15,15,6,6,10,0.667,True,"{6: 10, 19: 1, 41: 1, 32: 1, 16: 1, 10: 1}"
1990_1999,550,Fight Club,1999.0,77,77,3,9,75,0.974,True,"{30: 1, 9: 75, 13: 1}"
1990_1999,9292,Hudson Hawk,1991.0,8,8,4,3,5,0.625,True,"{15: 1, 3: 5, 6: 1, 11: 1}"
1990_1999,12618,Random Hearts,1999.0,24,24,12,41,12,0.5,False,"{18: 1, 35: 1, 9: 1, 41: 12, 8: 1, 33: 1, 39: 1, 14: 2, 26: 1, 28: 1, 4: 1, 24: 1}"
1990_1999,329,Jurassic Park,1993.0,27,27,9,22,18,0.667,True,"{24: 2, 22: 18, 1: 1, 11: 1, 19: 1, 20: 1, 9: 1, 37: 1, 14: 1}"
1990_1999,12160,Wyatt Earp,1994.0,24,24,10,14,12,0.5,False,"{20: 1, 17: 1, 8: 2, 9: 1, 14: 12, 12: 1, 28: 1, 1: 3, 38: 1, 6: 1}"
1990_1999,9331,Clear and Present Danger,1994.0,18,18,10,36,7,0.389,False,"{18: 1, 35: 1, 6: 2, 41: 2, 31: 1, 36: 7, 22: 1, 7: 1, 21: 1, 33: 1}"
1990_1999,9087,The American President,1995.0,18,18,13,20,6,0.333,False,"{9: 1, 7: 1, 37: 1, 20: 6, 4: 1, 14: 1, 31: 1, 13: 1, 2: 1, 40: 1, 8: 1, 38: 1, 3: 1}"
1990_1999,497,The Green Mile,1999.0,33,33,12,14,15,0.455,False,"{20: 2, 3: 3, 16: 1, 41: 1, 14: 15, 10: 1, 23: 2, 1: 1, 26: 3, 37: 1, 9: 2, 0: 1}"
1990_1999,710,GoldenEye,1995.0,20,20,5,6,15,0.75,True,"{6: 15, 10: 1, 11: 2, 33: 1, 8: 1}"
1990_1999,2275,The General's Daughter,1999.0,16,16,9,14,8,0.5,False,"{41: 1, 23: 1, 3: 1, 14: 8, 7: 1, 4: 1, 40: 1, 16: 1, 8: 1}"
1990_1999,37165,The Truman Show,1998.0,25,25,8,14,18,0.72,True,"{34: 1, 14: 18, 6: 1, 21: 1, 26: 1, 9: 1, 36: 1, 13: 1}"
1990_1999,9837,The Prince of Egypt,1998.0,22,22,9,1,14,0.636,True,"{3: 1, 35: 1, 24: 1, 1: 14, 12: 1, 27: 1, 26: 1, 38: 1, 7: 1}"
1990_1999,8916,Antz,1998.0,18,18,9,38,9,0.5,False,"{30: 1, 1: 2, 6: 1, 8: 1, 38: 9, 7: 1, 24: 1, 19: 1, 41: 1}"
1990_1999,2119,Days of Thunder,1990.0,12,12,7,14,5,0.417,False,"{41: 1, 14: 5, 8: 1, 1: 1, 36: 1, 13: 1, 20: 2}"
1990_1999,9563,Any Given Sunday,1999.0,66,66,3,17,64,0.97,True,"{17: 64, 16: 1, 34: 1}"
1990_1999,547,The Horse Whisperer,1998.0,21,21,5,36,17,0.81,True,"{36: 17, 35: 1, 24: 1, 7: 1, 8: 1}"
1990_1999,8914,Deep Blue Sea,1999.0,18,18,10,8,9,0.5,False,"{13: 1, 6: 1, 17: 1, 36: 1, 19: 1, 8: 9, 10: 1, 41: 1, 26: 1, 38: 1}"
1990_1999,9279,Jingle All the Way,1996.0,20,20,8,24,13,0.65,True,"{22: 1, 24: 13, 11: 1, 1: 1, 14: 1, 13: 1, 3: 1, 33: 1}"
1990_1999,9422,A Civil Action,1998.0,19,19,14,4,5,0.263,False,"{41: 1, 14: 1, 7: 2, 13: 1, 4: 5, 20: 1, 17: 1, 36: 1, 11: 1, 31: 1, 10: 1, 8: 1, 22: 1, 1: 1}"
1990_1999,4824,The Jackal,1997.0,50,50,9,11,42,0.84,True,"{15: 1, 11: 42, 26: 1, 8: 1, 12: 1, 2: 1, 10: 1, 32: 1, 16: 1}"
1990_1999,9302,Up Close & Personal,1996.0,12,12,5,1,7,0.583,False,"{36: 2, 1: 7, 33: 1, 41: 1, 12: 1}"
1990_1999,3512,Under Siege 2: Dark Territory,1995.0,12,12,9,3,4,0.333,False,"{20: 1, 38: 1, 14: 1, 36: 1, 40: 1, 3: 4, 6: 1, 1: 1, 32: 1}"
1990_1999,8078,Alien: Resurrection,1997.0,26,26,7,36,20,0.769,True,"{36: 20, 31: 1, 1: 1, 11: 1, 16: 1, 9: 1, 13: 1}"
1990_1999,6435,Practical Magic,1998.0,11,11,7,8,5,0.455,False,"{12: 1, 8: 5, 10: 1, 33: 1, 36: 1, 23: 1, 22: 1}"
1990_1999,9849,My Favorite Martian,1999.0,8,8,6,20,3,0.375,False,"{34: 1, 16: 1, 38: 1, 37: 1, 20: 3, 10: 1}"
1990_1999,11015,The Relic,1997.0,27,27,5,22,22,0.815,True,"{22: 22, 1: 1, 26: 2, 32: 1, 21: 1}"
1990_1999,8838,Mercury Rising,1998.0,25,25,7,3,18,0.72,True,"{15: 1, 24: 1, 22: 1, 3: 18, 14: 1, 32: 2, 23: 1}"
1990_1999,8413,Event Horizon,1997.0,15,15,5,3,11,0.733,True,"{32: 1, 24: 1, 17: 1, 3: 11, 12: 1}"
