actor,degree
Laura Atwood,151
Debbie Scaletta,395
David Leach,151
Gordon Michaels,190
Brian Boland,170
Taras Los,246
Jason Hughley,151
Sidi Henderson,181
Meighan Gerachis,151
Nicole Santini,172
Axel Harney,151
Wayne E. Brown,320
Dante Briggins,151
Shannon Garnett,151
Lynch R. Travis,151
Carmen Gangale,221
Joe Cipriano,151
Will Blagrove,224
Marcelo Bem,151
Johnny Depp,477
Armie Hammer,274
William Fichtner,271
Helena Bonham Carter,535
James Badge Dale,338
Tom Wilkinson,386
Ruth Wilson,129
Barry Pepper,199
James Frain,89
Mason Cook,69
Matt O'Leary,72
Leon Rippy,59
Harry Treadaway,59
Damon Herriman,82
W. Earl Brown,213
Gil Birmingham,114
Saginaw Grant,125
Stephen Brodie,59
Matthew Page,174
Bryant Prince,59
JD Cullum,59
Joaquín Cosio,199
Timothy V. Murphy,80
Damon Carney,59
Kevin Wiggins,137
Chad Brummett,121
Robert Baker,59
Lew Temple,105
Stephen Root,225
Randy Oglesby,59
Brad Greenquist,63
Rance Howard,180
Leonard Earl Howze,102
Travis Hammer,122
Steve Corona,59
Jack Axelrod,59
Christopher Hagen,100
Freda Foh Shen,59
Margaret Bowman,59
Luz P. Mendez,59
Laina Loucks,59
Devon J. Adams,59
Desirae Anslover,59
Charlotte Cormier,59
Megan Pribyl,59
Briana Van Schuyver,59
Julie Stracener,59
Chad Randall,131
Jason E. Hill,122
Beth Bailey,122
Joanne Camp,59
Bob Rumnock,59
Tait Fletcher,179
Alex Knight,194
Argos MacCallum,74
Pokey Lafarge,59
Joey Glynn,59
Adam Hoskins,59
Ryan Koenig,59
Russell Crowe,415
Antje Traue,169
Christopher Meloni,168
Jadin Gould,93
Tahmoh Penikett,32
Ayelet Zurer,58
Richard Schiff,115
Dylan Sprayberry,32
Michael Kelly,209
Richard Cetrone,241
Mackenzie Gray,94
Julian Richings,217
Mary Black,32
Samantha Jo,32
David Lewis,32
Doug Abrahams,32
Brad Kelly,63
Alessandro Juliani,32
Jack Foley,32
Robert Gerdisch,32
Jacqueline Scislowski,32
Sean Campbell,99
Raj Lal,90
Tom Hiddleston,304
Clark Gregg,298
Gwyneth Paltrow,369
Jenny Agutter,201
Walter Perez,147
Powers Boothe,193
Arthur Darbinyan,213
Donald Li,114
Ashley Johnson,147
Harry Dean Stanton,179
Alicia Sixtos,114
Dieter Riesle,114
Jamie McShane,292
Jeff Wolfe,176
Jerzy Skolimowski,114
Maximiliano Hernández,265
Alexis Denisof,192
James Eckhouse,114
Enver Gjokaj,124
Damion Poitier,206
Tina Benko,133
Kirill Nikiforov,114
M'laah Kaur Singh,114
Rashmi Rustagi,114
Warren Kole,114
Jesse Garcia,179
Kenneth Tigar,114
Josh Cowdery,114
Katsumi Komatsu,114
Yumiko Komatsu,114
Momoko Komatsu,114
Robert Clohessy,416
Fernanda Toker,114
Andrea Vecchio,114
Robin Swoboda,114
Brent McGee,206
Michael Zhang,114
William-Christopher Stephens,114
Kelley Robins,114
Romy Rosemont,145
Pat Kiernan,507
Thomas Roberts,214
Jillian Morgese,114
Catherine Anderson,114
Ricardo Andres,180
Logan Bennett,114
Mayank Bhatter,114
Sharita Bone,114
Jason Botsford,114
Mary Kate Campbell,114
Gene N. Chavez,114
Layla Cushman,114
Robert Dean,114
Rick Dremann,114
Jeffrey Feingold,256
Lou Ferrigno,114
Rod Fielder,127
Eric Frank,114
Israel Hall,114
Carmen Dee Harris,114
Alexander Christopher Jones,272
Mike Karban,114
Demoine Kinney,114
Andrew Knode,114
Annette Lawless,114
Kimberly J. Mahoney,114
Todd Manes,114
Michael McMillan,114
Sean Meehan,114
Holly Neelie,114
Caleb Daniel Noal,114
Jeremy Orr,114
Nate Paige,114
Martin Palmer,180
Maria Perossa,114
Caleb Pieplow,114
Alexander Daniel Pimentel,114
Frank Powers,114
Jaime Powers,153
Brent Reichert,114
Kelly Ruble,114
Gina Sarno,114
Robert B. Schneider IV,114
Jeff Seich,114
Christina Shaffer,114
Alonda Shevette,114
Douglas Slygh,114
Colin Strause,114
Robert P. Thitoff,114
George Thomas,114
Shane Thompson,114
Jerry Lee Tucker,137
Tai Urban,114
Sandra Weston,114
Seth Zielicke,114
Alex DeCourville,114
Andrea-Nichole Olivas,114
Tina Grimm,252
Penélope Cruz,230
Ian McShane,112
Kevin McNally,83
Geoffrey Rush,231
Sam Claflin,242
Astrid Bergès-Frisbey,51
Stephen Graham,64
Greg Ellis,69
Damian O'Hare,34
Óscar Jaenada,94
Richard Griffiths,61
Keith Richards,34
Gemma Ward,64
Ian Mercer,34
Robbie Kay,72
Christopher Fairbank,158
Yuki Matsuzaki,34
Steve Evets,107
Bronson Webb,100
Derek Mears,154
Deobia Oparei,140
Sebastian Armesto,111
Anton Lesser,42
Roger Allam,122
Paul Bazely,34
Richard Thomson,34
Danny Le Boyer,34
Alan J. Utley-Moore,34
Luke Roberts,75
Emilia Jones,63
Sanya Hughes,34
Siegfried Peters,34
Will Smith,392
Tommy Lee Jones,436
Michael Stuhlbarg,175
Emma Thompson,124
Jemaine Clement,173
Nicole Scherzinger,17
Alice Eve,259
Bill Hader,539
Michael Chernus,91
David Rasche,52
Keone Young,17
Cayen Martin,17
Mike Colter,47
Mela Hudson,83
Will Arnett,167
Kelvin Davis,71
Dan Bittner,174
Martin Freeman,260
Ian McKellen,131
Richard Armitage,294
Ken Stott,79
Graham McTavish,193
William Kircher,50
James Nesbitt,71
Stephen Hunter,50
Dean O'Gorman,50
Aidan Turner,72
John Callen,50
Peter Hambleton,44
Jed Brophy,68
Mark Hadlow,50
Adam Brown,50
Orlando Bloom,74
Evangeline Lilly,278
Lee Pace,270
Cate Blanchett,228
Hugo Weaving,231
Christopher Lee,126
Ian Holm,47
Mikael Persbrandt,44
Sylvester McCoy,59
Luke Evans,228
Stephen Fry,179
John Bell,67
Ryan Gage,41
Peggy Nesbitt,44
Mary Nesbitt,44
Manu Bennett,50
John Tui,86
Billy Connolly,83
Benedict Cumberbatch,623
Kelly Kilgour,41
Sarah Peirse,44
Nick Blake,41
Simon London,41
Conan Stevens,105
Allan Smith,41
Miranda Harcourt,41
Thomasin McKenzie,41
Andrew Garfield,228
Emma Stone,497
Rhys Ifans,271
Denis Leary,161
Campbell Scott,107
Irrfan Khan,111
Martin Sheen,210
Sally Field,175
Max Charles,293
Chris Zylka,67
Embeth Davidtz,173
Leif Gantvoort,106
Hannah Marks,73
Kelsey Asbille,56
C. Thomas Howell,56
Michael Massee,107
Kari Coleman,107
Charlie DePew,107
Skyler Gisondo,202
Jacob Rodier,107
Jake Keiffer,56
Kevin McCorkle,56
Barbara Eve Harris,56
Danielle Burgio,56
Michael Barra,56
Andy Pessoa,56
Andy Gladbach,56
Ring Hendricks-Tellefsen,56
Tom Waite,152
Keith Campbell,72
Steve DeCastro,56
James Chen,56
Alexander Bedria,56
John Burke,144
Jill Flint,56
Mark Daugherty,56
Milton González,56
Vincent Laresca,201
Damien Lemon,56
Ty Upshaw,56
Tia Texada,56
Jay Caputo,83
Terry Bozeman,56
Jennifer Lyons,56
Amber Stevens,80
Zoey Deutch,191
Jody Cosgrove-Kao,56
Max Bogner,56
Ethan Cohn,111
Miles Elliot,56
Miranda LaDawn Hill,56
Amanda MacDonald,56
Maury Morgan,56
Amy Novondo,185
Kristin Quick,222
Max von Sydow,78
William Hurt,238
Oscar Isaac,280
Danny Huston,176
Eileen Atkins,92
Mark Addy,54
Matthew Macfadyen,99
Kevin Durand,362
Scott Grimes,61
Alan Doyle,61
Douglas Hodge,33
Jonathan Zaccaï,33
Robert Pugh,65
Gerard McSorley,33
Velibor Topic,126
Ciaran Flynn,33
Simon McBurney,208
Mark Lewis Jones,56
Denis Ménochet,33
Ruby Bentall,104
Jessica Raine,58
John Nicholas,33
Roy Holder,33
Denise Gough,33
Arthur Darvill,33
Giannina Facio,85
Ralph Ineson,197
Jake Curran,52
Terry Notary,206
Stephen Colbert,118
Ben Mitchell,31
Sebastian Stan,313
Chadwick Boseman,240
Paul Rudd,436
Emily VanCamp,159
Tom Holland,140
Frank Grillo,452
Daniel Brühl,233
John Slattery,460
Marisa Tomei,382
John Kani,112
Hope Davis,293
Gene Farber,99
Florence Kasumba,99
Alfre Woodard,213
Jim Rash,111
Joe Russo,159
Michael A. Cook,159
Laughton Parchment,99
Jackson Spidell,99
Yi Long,99
Heidi Moneymaker,99
Aaron Toney,194
Cale Schultz,99
Ann Russo,159
Cornell John,121
Sven Hönig,99
Joshua Peck,99
Be Satrazemis,99
Blair Jasin,99
Oli Bigalke,99
Rafael Banasik,99
David de Vries,99
John Curran,99
Katie Amess,99
Austin Sanders,99
Brett Gentile,99
Matthew Anderson,99
Andrew Botchwey,99
Chase Bradfield,99
Ernest Charles,99
Hendricks Coates,99
Ethan Condon,99
Shen Dynes,99
Nathaniel Ellis,99
Jariah Ferguson,99
Evan Ffrench,99
Justin Freeman,99
Ralphael Grand'Pierre,99
Julian Grimes,99
Aaron Hayes,99
Austin Hooper,99
Amiri Jones,99
Myles Joseph,99
Stephen Lewis,99
Jacob Ludwick,99
D'Mahrei McRae,99
Ashwin Mudaliar,99
Eli Ollinger,99
Parker Pape,99
Daniel Parada,99
Jonah Ruffin,99
Darryl Sampson,99
Cameron Sardone,99
Stanley Sellers,99
Miles Selles,99
Jacob Sung,99
Caden Wilkinson,99
Kim Scar,99
Jessica Walther-Gabory,99
Beniamino Brogi,99
Silvina Buchbauer,99
Henry Amadi,99
Ugochukwu Ani,99
Michael Anthony Rogers,99
Umar Khan,129
David Brown,211
Guy Fernandez,99
Sophia Russo,99
Amelia Morck,99
Julianna Guill,147
Surely Alvelo,99
Kevin LaRosa Jr.,99
Al Cerullo,99
Frédéric North,99
Ray Sahetapy,112
Alexander Skarsgård,283
Rihanna,119
Brooklyn Decker,94
Tadanobu Asano,130
Gregory D. Gadson,45
Hamish Linklater,167
Jesse Plemons,237
Jerry Ferrara,131
David Jensen,405
Peter Berg,51
Adam Godley,111
Rico McClinton,45
Joji Yoshida,45
Stephen Bishop,173
Austin Naulty,45
Dustin J. Reno,45
Rick Hoffman,56
Gary Grubbs,358
Rami Malek,220
Peter MacNicol,45
Louis Lombardi,63
Jordan Kirkwood,45
Doug Penty,45
Carson Aune,45
Lloyd Pitts,45
Michelle Arthur,45
Natalia Castellanos,45
Leni Ito,59
Jackie Johnson,71
Kerry Cahill,160
Norman Vincent McLafferty,45
Dante Jimenez,45
Daven Arce,45
Ralph Richardson,45
Biunca Love,45
Kyle Russell Clements,163
Yutaka Takeuchi,45
John A Weaver,45
Dane Justman,45
Drew Rausch,45
Bill Stinchcomb,87
Chris Pratt,467
Bryce Dallas Howard,182
Vincent D'Onofrio,131
Nick Robinson,61
Ty Simpkins,212
Jake Johnson,303
Omar Sy,105
BD Wong,63
Judy Greer,324
Lauren Lapkus,76
Brian Tee,72
Katie McGrath,27
Andy Buckley,102
Eric Edelstein,84
Jimmy Fallon,56
James DuMont,262
Matt Burke,27
Anna Talakkottur,27
Colin Trevorrow,27
Courtney J. Clark,50
Kelly Washington,27
Matthew Cardarople,107
Yvonne Angulo,27
Chloe Perrin,27
Erika Erica,101
Tiffany Forest,27
Javier Bardem,166
Bérénice Marlohe,23
Albert Finney,53
Ola Rapace,23
Helen McCrory,50
Bill Buckhurst,23
Elize du Toit,23
Tonia Sotiropoulou,23
Wolf Blitzer,23
Jens Hultén,97
Anthony O'Donnell,23
Jo Cameron Brown,23
Peter Basham,23
Ben Loyd-Holmes,23
Orion Lee,23
Yennis Cheung,23
Guy Pearce,190
Rebecca Hall,289
Jon Favreau,432
Ben Kingsley,396
Stephanie Szostak,173
William Sadler,221
Dale Dickey,189
Miguel Ferrer,146
Wang Xue-qi,122
Shaun Toub,126
Matthew Sterling Nye,106
Josh Elliott,106
Megan Henderson,106
Bill Maher,143
Joan Rivers,134
George Kotsiopoulos,106
Bronte D'Esposito,106
Noah Visconti,106
Ashley Hamilton,147
Brooke Jayne Taylor,106
Kim Dean,106
Glenn Foster,106
Anthony Reynolds,200
Kendrick Cross,196
Tom Clark,106
John Eddins,106
Spencer Garrett,161
Rockey Dickey Jr.,106
Drew Michael Hershner,106
Sarah Burkhardt,106
Jan Broberg,132
Andrew Lauer,106
Nate Bynum,106
Andrew Lander,106
Tom Virtue,129
Roy McCrerey,106
Serdar Kalsin,106
Demetrois Hodges,106
Bobby Tisdale,122
Yvonne Zima,106
Adam Pally,213
James Rackley,106
Cullen Moss,126
Jake Dewitt,106
Rebecca Mader,106
Kevin Arnold,106
Juan C. Bofill,106
David Buglione,106
Adam Lytle,106
Paul Andrew O'Connor,151
Phil Ortiz,106
Gwendalyn Barker,106
Steve Wilder,106
Luciana Faulhaber,106
Karina Florez,106
Mike Massa,151
Mark Kubr,363
Si-Fu Eric Oram,106
Naomi Parshin,106
Aurelia Riley,106
Johanna Yunda,106
Wesley Thompson,106
Jenna Ortega,135
T. C. Anyachonkeya,106
Chad Kurtz,106
Cal Johnson,106
Corey Hawkins,191
Linden Ashby,106
Sarah Farooqui,106
Sala Baker,216
Kial Butler,106
Nick Brandon,106
Dan Brown,106
Fernando Chien,206
Ilram Choi,106
Brycen Counts,106
Kiante Elam,106
Dane Farwell,106
Mark Fichera,171
Colin Follenweider,106
Aja Frary,106
Mark Ginther,106
Adrian Gonzalez,108
Dennis Keiffer,106
Samuel Le,106
Tara Macken,106
William Morts,106
Jade Quon,106
J. C. Robaina,106
Markos Rounthwaite,106
Philip J Silvera,106
Brian Simpson,106
Mark Aaron Wagner,147
Chris Gethard,106
Bridger Zadina,106
Mia Wasikowska,162
Crispin Glover,67
Marton Csokas,262
Lindsay Duncan,189
Matt Lucas,217
Geraldine James,232
Tim Pigott-Smith,159
Leo Bill,241
Frances de la Tour,231
Michael Sheen,309
Alan Rickman,141
Timothy Spall,219
Paul Whitehouse,114
Barbara Windsor,114
Michael Gough,34
Imelda Staunton,274
Eleanor Tomlinson,56
Jemma Powell,34
Eleanor Gecks,62
Rebecca Crookshank,34
Holly Hawkins,34
Lucy Davenport,53
Joel Swetow,34
Jessica Oyelowo,56
Chris Grabher,34
Bonnie Parker,34
Simone Sault,34
Dale Mercer,129
Cortney Palm,74
Billy Crystal,54
John Goodman,511
Steve Buscemi,211
Helen Mirren,247
Noah Johnston,36
Peter Sohn,40
Joel Murray,90
Sean Hayes,84
Dave Foley,43
Charlie Day,193
Alfred Molina,113
Tyler Labine,75
Nathan Fillion,161
Aubrey Plaza,193
Bobby Moynihan,344
Julia Sweeney,23
Bonnie Hunt,108
John Krasinski,179
Beth Behrs,23
Bob Peterson,65
John Ratzenberger,188
Frank Oz,83
Ava Acres,309
Mark Wahlberg,480
Stanley Tucci,605
Kelsey Grammer,186
Nicola Peltz,60
Jack Reynor,51
Titus Welliver,212
Sophia Myles,40
Li Bingbing,102
T.J. Miller,495
James Bachman,107
Greg Anderson,40
Melanie Specht,40
Victoria Summer,40
Han Geng,40
Edward T. Welburn,40
Kevin Covais,40
Peter Cullen,72
Frank Welker,303
Ken Watanabe,68
Robert Foxworth,72
John DiMaggio,169
Mark Ryan,72
Reno Wilson,72
Jeffrey Combs,40
Mark Rolston,40
Charles Parnell,40
Erika Fong,40
David Midthunder,95
Glenn Keogh,40
Richard Gallion,40
Kassem Gharaibeh,40
Richard Riehle,110
Tyrone Smith,40
Abigail Klein,67
Candice Zhao,40
Cleo King,40
Patrick Bristow,40
Michael Wong,62
James Franco,493
Mila Kunis,469
Rachel Weisz,207
Michelle Williams,220
Zach Braff,183
Bill Cobbs,235
Tony Cox,170
Stephen R. Hart,178
Abigail Spencer,248
Bruce Campbell,216
Ted Raimi,158
Tim Holmes,310
Toni Wynne,158
Rob Crites,158
William Dick,158
Gene Jones,175
John Lord Booth III,158
Suzanne Keilly,158
Shannon Murray,158
John Manfredi,363
Robert Stromberg,158
Channing Pierce,158
Brian Searle,158
Russell Bobbitt,158
Julie Gershenson,158
Dan Nelson,158
T.J. Jagodowski,158
John Paxton,158
Melissa Exelberth,158
Steve Forbes,158
Arnold Agee,230
Deborah Puette,158
Julius Kline III,158
Theresa Tilly,158
Betsy Baker,158
Ellen Sandweiss,170
Bella Shepard,158
Sasha Kida Reynolds,158
Ja'Vonne Cousins,158
Victoria Lurz,158
Dashiell Raimi,158
Oliver Raimi,158
Brandon Hamilton,158
Stevie Lee,199
Danielle Ragland,158
Bart McCarthy,158
Timothy Patrick Quill,158
Nicholas Lindsay-Abaire,158
Bill E. Rogers,158
Dan Hicks,158
Mia Serafino,158
Lanika Wise,158
Mikayla Bouchard,248
Nellie Ann Prestine-Lowery,158
Emma Raimi,158
Jayne Violassi,158
Jay Schwalm,158
Wendy Cutler,213
James Bird,158
Kenneth D. Ciszewski,158
Chester F. Guilmet,158
Robert Buck,158
Jim Moll,158
Bernie Allemon,169
Chidi Ajufo,158
Talia Akiva,158
AnnMarie Arcuri,158
Blake Arnold,158
Apollo Bacala,454
Kelly Bacon,158
Barb Baker,158
Ron Baratono,158
Cameron Barnett,158
Robert T. Barrett,158
Kevin Wayne Berger,158
Eric Brakke,158
Wayne Brinston,391
Colin Bryant,158
Ron Causey ,454
Grady Chambless,158
Lee Christian,158
Justin Chrzanowski,310
Will Clarke,310
Michael Clossin,158
